"","tsn","scientificname","kingdom","phylum","classname","ordername","family","genus","species","myersname","commonname1","commonname2","myersscientificname","myersfamily"
"139",161979,"Oncorhynchus nerka","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","nerka","SOCK","Sockeye salmon","NA","NA","NA"
"140",161989,"Oncorhynchus mykiss","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","mykiss","STRO","Steelhead trout","NA","NA","NA"
"141",161963,"Coregonus albula","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus","albula","VENDACE","Vendace","NA","NA","NA"
"142",161950,"Coregonus lavaretus","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","Coregonus","lavaretus","WHFSH","Whitefish","NA","NA","NA"
"143",172978,"Glyptocephalus zachirus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus","zachirus","REXSOLE","Rex sole","NA","NA","NA"
"144",616029,"Reinhardtius stomias","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","stomias","ARFLOUND","Arrowtooth flounder","NA","NA","NA"
"145",616392,"Lepidopsetta polyxystra","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","polyxystra","NRSOLE","Northern rock sole","NA","NA","NA"
"146",172875,"Hippoglossoides elassodon","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossoides","elassodon","FLSOLE","Flathead sole","NA","NA","NA"
"147",166735,"Sebastes polyspinis","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","polyspinis","NROCK","Northern rockfish","NA","NA","NA"
"148",166706,"Sebastes aleutianus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","aleutianus","REYEROCK","Rougheye rockfish","NA","NA","NA"
"149",172933,"Hippoglossus hippoglossus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","hippoglossus","ATHAL","Atlantic Halibut","NA","NA","NA"
"150",97314,"Homarus americanus","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae","Homarus","americanus","LOBSTER","American lobster","NA","NA","NA"
"151",170479,"Tautoga onitis","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautoga","onitis","TAUTOG","Tautog","NA","NA","NA"
"152",171677,"Ammodytes marinus","Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","marinus","SEEL","Sand eel","Sand lance","NA","NA"
"153",171674,"Ammodytes dubius","Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","dubius","SANDLANCE","Northern sand lance","NA","NA","NA"
"154",173001,"Solea vulgaris","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Solea","vulgaris","SOLE","common European sole","common sole","NA","NA"
"155",550883,"Rexea solandri","Animalia","Chordata","Actinopterygii","Perciformes","Gempylidae","Rexea","solandri","GEMFISH","common gemfish","hake","NA","NA"
"156",170262,"Nemadactylus macropterus","Animalia","Chordata","Actinopterygii","Perciformes","Cheilodactylidae","Nemadactylus","macropterus","MORWONG","Hawaiian morwong","Jackass morwong","NA","NA"
"157",172534,"Seriolella punctata","Animalia","Chordata","Actinopterygii","Perciformes","Centrolophidae","Seriolella","punctata","SILVERFISH","Silverfish","NA","NA","NA"
